,Company,JobTitle,Location,EmploymentType,Seniority,Category,GovSupport,SalaryRange,JobLink,PostedDate,ClosingDate,RoleResponsibility,Requirements
259,A*STAR RESEARCH ENTITIES,Scientist (Manufacturing Execution and Control â€“ Ref FY18030 / MEC) - SIMTech (A*STAR),Central,Permanent ...,Middle Management ...,Human Resources  ...,,"$4,500to$9,000Monthly",/job/07a11cd843315c9794f25d8d2a24d358,8-Apr-18,8-May-18,"About the Singapore Institute of Manufacturing Technology (SIMTech) The Singapore Institute of Manufacturing Technology (SIMTech) is a research institute of the Science and Engineering Research Council (SERC) of the Agency for Science, Technology and Research (A*STAR). SIMTech develops high value manufacturing technology and human capital to contribute to the competitiveness of the Singapore industry. It collaborates with multinational and local companies in the precision engineering, electronics, semiconductor, medical technology, aerospace, automotive, marine, oil and gas, logistics and other sectors. For more information, please visit www.SIMTech.a-star.edu.sg Job Description: SIMTech is looking for a motivated, innovative quick learner with excellent interpersonal skills to join the Manufacturing Execution Control (MEC). The successful candidate has opportunities to participate in research projects on Big Data Analysis. This includes the following areas:Â   Familiar and skilled in statistical feature extraction, signal processing, machine learning, pattern recognition Formulate new ways to classify data to identify anomalies, abnormal patterns / signatures from structuredÂ  unstructured data Develop novel algorithms in root cause diagnosis & Predictive modeling Articulate new ideas and seek competitive research funding Lead or contribute to proposal writing for research grants "," PhD in Computer Science, Computer Engineering, Electrical & Information Systems. Familiar with programming using / Python / Matlab / C# / My SQL / Labview Ability to articulate and communicate ideas Ability to identify problems and translate into novel algorithms Ability to interact effectively with diverse constituencies internally and externally. Excellent verbal and written communication skills.  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
0,SOFTENGER (SINGAPORE) PTE. LTD.,Python Developer,East,Permanent,Senior Executive,Information Technology,Government support available,"$4,000to$6,000Monthly",/job/87571257055ea4ad2df1097fb2f7b4bb,21-Mar-18,20-Apr-18," PYTHON Scripting (4+yrs of hands on Experience) 	â€¢ Unix 	â€¢ Oracle PL/SQL 	â€¢ Automation Testing Awareness 	â€¢ Data Reconciliation 	â€¢ Agile Project Execution knowledge 	â€¢ Very Good Communication (written and spoken) & Presentation Skills 	â€¢ Data Warehousing knowledge (Optional) 	â€¢ Worked on any Data Mart Solutions 	â€¢ Investment Banking Experience (PWM area) "," PYTHON Scripting (4+yrs of hands on Experience) 	â€¢ Unix 	â€¢ Oracle PL/SQL 	â€¢ Automation Testing Awareness 	â€¢ Data Reconciliation 	â€¢ Agile Project Execution knowledge 	â€¢ Very Good Communication (written and spoken) & Presentation Skills 	â€¢ Data Warehousing knowledge (Optional) 	â€¢ Worked on any Data Mart Solutions 	â€¢ Investment Banking Experience (PWM area) "
1,OSIM INTERNATIONAL PTE. LTD.,Full Stack Web Developer,East,Permanent,Senior Executive,Information Technology,Government support available,"$3,000to$4,000Monthly",/job/64abcf9145e471c5969def8ac292e417,21-Mar-18,20-Apr-18,"Job Summary Being part of OSIMâ€™s IOT development team, you will be responsible in designing, developing, and implementing modern web applications for both frontend and backend on top of our CRM platform. You will determine database architecture and design, deriving conversion and migration methods for existing data. You will compose solutions that incorporate web-services, RESTful Web components, NoSQL data frameworks and large scale distributed system to drive insights from vast amounts of structured and unstructured data. Engage with multiple functional teams (Product Design, UI/UX designer, Graphics Designer, CRM and Marketing) to comprehend client challenges, prototype new ideas and new technologies, and help to create solutions to drive the next wave of IOT innovation while exemplifying utmost attention to quality and timely delivery."," Bachelorâ€™s Degree in Computer Science/Information Technology/Software 2-3 years in Full-stack development experience designing and building web applications and web services, with a stronger need for backend experience Working knowledge on AWS services is preferred Experience building and documenting RESTful Web APIs using Node.js, Express.js, MS SQL Server, and Swagger is required Experience building and maintaining user-facing web interfaces for desktop and mobile devices using HTML/5, CSS/3, and JavaScript is required Expertise in relational databases (Microsoft SQL Server, MySQL) a must, experience with NoSQL databases (MongoDB) a plus Solid understanding of the full web technology stack, including protocols and Web server optimization techniques Â (e.g HTTP, cookies, headers, asset loading/caching) Knowledge of at least one scripting language, including PHP, Python, or Bash and in depth knowledge of JSON, XML Schema standard Experience with source control platform such as Git Meticulous and resourceful with good planning and organizational skills, along with creative and analytical thinking skills Good interpersonal and strong communication skills (written and oral) in English and Mandarin is required to liaise with Chinese-speaking clients "
2,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Senior Pricing Analyst,Central,Permanent ...,Executive,Engineering ...,Government support available,"$8,000to$12,000Monthly",/job/2d81d151649a49a79f0dc87051959862,21-Mar-18,20-Apr-18,"Â Pricing Analyst - Asia Pacific Business and Markets (Open) Includes jobs responsible for a variety of activities that directly support the sales function and customer support. Professional Job Category: Develops, evaluates and implements pricing strategies and models based upon current business and competitive market dynamics. Conducts research and performs competitive pricing analysis. Monitors ongoing competitive environment to ensure practices do not adversely impact company reputation or customer satisfaction. Partners with Sales/Marketing, Business Development and Finance to correctly position product portfolio and establish pricing programs aligned with product/sales strategy and revenue recognition requirements. Projects impact of pricing changes, individual promotions and rebate programs on revenue. Creates/administers pricing databases and coordinates implementation of pricing proposals across the organization. Mgmt Job Category: Defines, develops, evaluates and oversees the implementation of pricing models and strategies designed to optimize revenue, market share, brand positioning and long-term profits. Partners with Sales/Marketing, Business Development, Finance and other key stakeholders to correctly position product portfolio and establish pricing programs aligned with product/sales strategy and revenue recognition requirements. Monitors the ongoing business environment to ensure competitive pricing/market position and directs the development and analysis of pricing models and projections. Oversees the implementation of pricing proposals across the organization. Performs data and information analysis leading to business decisions or recommendations. Frequently includes preparation of reports and other documents. Does not apply to office/support jobs that work with data or data bases. Â  Â ","Min 5 toÂ 8 years of experience in Similar role or handling BusinessÂ  Experience in Business Planning , Pricing Strategies , Branding or Business Development or Product Management will be preferredÂ  Must have experience in Competitive pricing analysisÂ  Candidate should have regional experience and other marketsÂ  Korean / Chinese Langauge Competencies desiredÂ  Willing to travel"
3,CENTRAL PROVIDENT FUND BOARD,Database Administrator,Central,Permanent ...,Executive,Engineering ...,,Salary undisclosed,/job/371adc8bea3f0a5ca92903b076c3fce2,15-Mar-18,30-Apr-18,"As trustee of the nationâ€™s savings, our work shapes the future of Singaporeans. In our hands we hold the future of real people and real lives. We foster an environment of trust and encourage positive relationships for effective teamwork. We offer you the space to develop with meaningful opportunities and fresh challenges. We adopt a total rewards focus comprising competitive remuneration, attractive benefits and non-monetary recognition. Responsibilities:  Â· To setup, implementation, maintenance and upgrade database services.Â  Â· To ensure compliance to database security standards and policies, operational support of the databasesÂ  Â· To upkeep of database related assets and documentation. Â· To ensure the security and resiliency of data assets and database services Requirements:  Â· At least 10 years of experience in database administration and data management technologies. Â· Proven experience in database design, data maintenance and database security and WebSphereÂ  Â· Familiarity in software development, system technology and backup & disaster recovery solutions will be advantageous Â· Ability to respond to emergency situations on promptly where required The seniority of the role will commensurate with your experiences and skills. Â  Find out more at CPF Careers page.Â  TRUST. Everything We Stand For. Â ",-
4,JTC Corporation,Statistician,Islandwide,Permanent ...,Manager,Sales / Retail ,,Salary undisclosed,/job/9bc467959367a2c8794c631cfb1c877c,5-Mar-18,30-Apr-18,"Responsibilities
As a statistician, you will be required to plan, design and manage statistical projects such as conducting surveys, managing statistical databases and performing statistical research and analysis. This will involve editing, analysing and making sense of large amounts of data from various sources, to optimise statistical processes and derive more insights of the data to support policy-making decision.
Â 
Requirements
Background in Statistics, Mathematics, Economics or other related disciplines and subjects with substantial quantitative content. Strong analytical and quantitative skills with the ability to learn and apply relevant statistical and analytical tools and techniques for data compilation and analysis. Good communication and presentation skills. Able to work well both independently and as a member of a team. Good knowledge in Microsoft Office e.g. Excel and Access. Working knowledge on statistical programming language (like R and Python) and visualisation tools (e.g Tableau, Qlik Sense, etc) Â will be advantageous.Â  Candidates without working experience are welcome to apply.Â ",-
5,Singapore Land Authority,"Assistant Manager, GeoAnalytics",Islandwide,Permanent ...,Manager,Sales / Retail ,,"$4,200to$8,200Monthly",/job/341dcfba7d261cd62bed2143a0d89400,26-Feb-18,26-Apr-18,"Assistant Manager, GeoAnalytics Job Scope:  Lead a team to perform GeoAnalytics Projects for both internal and external stakeholders, developing GIS strategic plans and establishing project objectives and deliverables. Subject matter expert for automation of GIS functionalities, data processing, system integration strategies.  Build internal capabilities in programming and coding for data processing.   Requirements:  Degree, preferably in the areas of Geospatial/Computer Science/Engineering or similar area of study. At least 5 years of working experience in geospatial information science, technology/e-services and/or commercial 2D/3D geospatial & modelling applications, IoT, and Big Data. Experience in Opensoure for Geospatial, Hive, PIG, NoSQL databases, Python, R, Full Stack Dev, Leaflet, Chart.js, etc. Experience with GIS software and Business Intelligence software (e.g. Qlikview, Tableau). Excellent communication and presentation skills. Able to relate technical information to all levels of the organisation.  Â  Â ",-
6,Singapore Land Authority,"Senior / Principal Researcher, Underground Geospatial",South,Full Time,Manager,Information Technology ...,,"$2,800to$5,600Monthly",/job/16f40d65f6b99d5994d04297a66269ae,26-Feb-18,26-Apr-18,"Senior/Principal Researcher, Underground Geospatial
Job Scope:

Research and experiment emerging geospatial technologies (such as automated change detection, spatial-temporal analysis, machine learning algorithms), in collaboration with other agencies or technology/research institutions.
Conceptualise and formulate high-level strategies, design system architectures and develop technical standards required for the integration and use of (2D and 3D) above-ground and underground geospatial information.
Build, code, and test geospatial technologies and algorithms (including data acquisition, data integration, modelling visualisation, and analytics).

Requirements:

Degree or Masters preferably in the areas of GeoSpatial Science/Technology, Computer Science, Software Engineering, or equivalent.
At least 3 years of working experience in geospatial information science and technology or related fields.
Proficient knowledge in GIS, geospatial data modelling, and geodatabase management, and open standards
Knowledge in machine learning and change detection techniques, remote sensing, application development will be an added advantage.
Strong communication and interpersonal skills, problem-solving skills, and the ability to work in a team.

Â 
Â ",-
7,Health Promotion Board,"Executive, National Immunisation Registry Operations",South,Full Time,Manager,Information Technology ...,,Salary undisclosed,/job/0769e58342fd0f75986f01b70c66807e,24-Feb-18,23-May-18,"Job Responsibilities  Reports to the Supervisor (National Immunisation Registry/NRDO), you will be responsible for the following: Timely entry of notification forms received so as to enable accurate reporting of immunisation coverage in Singapore Manage records from multiple sources and enter data as accurately and comprehensively as possible into the system Process Summary of Immunisation request by public via email or walk-in Answer calls and email enquiries from healthcare institutions and public (e.g. parents/guardians of children relating to immunisation matters), to facilitate accurate reporting of immunisation coverage in Singapore Verify vaccination records and process applications to ensure vaccination requirements are fulfilled for foreign children applying for long term immigration passes to Singapore Provide administrative support so that departmental goals can be met  Job Requirements  Diploma holder with minimum 2 years of work experienceÂ  Proficient in Microsoft office software and other similar computer software Possess a willingness to learn new things and open to changes Ability to work with other team members and colleagues in different settings and cultures Ability to learn on the job with a positive attitude Effectively bilingual with excellent communication skills Able to identify and resolve erroneous data Work well under pressure and manage queries and complaints from public with efficiency and tact Proven ability to enter data accurately and at the required speed Team player and effective collaborator, able to foster strong relationships and influence outcomes Â   Â ",-
8,Republic Polytechnic,Office of Information Services - Manager  /  Deputy Manager (Learning Application Development),Central,Permanent,Executive,Public / Civil Service,No relevant experience required,Salary undisclosed,/job/59c05d52f00fc6fe0b51ec5488f833d8,23-Jan-18,31-Dec-18,"Job Responsibilities - Establish and track project plans, milestones and deliverables in consultation with all stakeholders - Strategize, design and manage the execution of effective development frameworks (including plans, processes, etc.) for software / application, using industry standards of best practices and methodologies - Work closely with users to translate teaching and learning functional specifications into technical requirements and systems - Work closely with vendors to design, configure, develop and manage the development of systems for teaching and learning - Work closely with the relevant departments on the test procedures at various test stages of the applications - Understand and collate business data and reporting requirements. Translate the requirements into user specifications. - Design and streamline the business data model; Develop dashboards and reports to support the analytical capabilities Requirements - Relevant qualification in Learning Design, Information Technology or equivalent - Familiar with online course design, course delivery and various pedagogies - Experience in the various learning tools in the education market like Learning Management Systems, Learning Activity Management Systems, Learning Analytics, eResource Systems, Assessment Systems etc - Able to identify appropriate uses of emerging web and mobile technologies within a variety of educational settings - 2 to 8 years of experience in implementing and managing learning systems and applications in higher education - Experience in any of the programming languages - .net, java, HTML5, open source and other programming languages - Strong project management skills with technical competencies - Excellent communication (both oral and written) skills - Excellent analytical and problem solving skills - A resourceful, independent, self-starter and team player - Keenness for data mining and analysis, with good understanding of incepting and delivering high quality analytical reports - Experience with Business Analytical Tools (Tableau, Power BI etc)",-
9,AUTODESK ASIA PTE. LTD.,Senior Software Engineer,Central,Permanent,Executive,Public / Civil Service,Government support available,"$59,000to$118,000Annually",/job/22b21ab75cb2d7f688808d793b87124f,19-Apr-18,19-May-18,"Autodesk is the world leader in design software with over $2B in revenue and customers in every industry you can think of. Not only are our digital entertainment creation tools used on the Best Visual Effects Oscar-winning movies for a staggering 16 years in a row, but our design tools are being used to build everything else that didnâ€™t sprout up from the ground.Â   We're looking for an experienced senior software engineer with a passion for clean, simple, usable design, to join our Product Data Management (PDM) team. This team develops, maintains and supports Autodesk PDM products. PDM is an ecosystem of Client & Server components, next generation Web client, File/Database Replication Engines, SDK, CAD Add-ins, Cloud Services and a variety of integrations with world leading CAD Products such as AutoCAD, Inventor and Revit. The PDM suite of product is used by companies globally, including large enterprises to manage engineering design data across multiple sites in different continents.Â  ResponsibilitiesÂ   Design, prototype, implement, unit test and troubleshoot features according to product specifications.Â  Deliver results that meet product specifications with a high level of quality and customer satisfaction.Â  Design, re-factor and optimize source code to effectively leverage object-oriented design, development, and code reuse.Â  Create effort estimation tasks for projects undertaken and ensure their completion on time, adhering to pre-determined specification and quality standards.Â  Work with tech leads and architects in order to maintain high quality code and architecture consistency. Work with User Experience Designer to provide solutions to market requirements that are both innovative and implementable. Work closely with Quality Assurance in testing and problem analysis and resolution.Â  Collaborate with the extended team of Software Developers, User Experience Designers and Quality Assurance engineers across worldwide engineering sites. Provide input to technical publications and review documentation of new features. ","RequirementsÂ   Bachelor Degree in Computer Science or equivalent. MSc is desirableÂ  7+ years' experience in software development Excellent C#/C++ programming skills and experience on Microsoft Windows is a must Experienced and strong in object-oriented design and architecture is a must Experience with Microsoft technologies (Visual Studio, .NET 2.0/3.0/4.0, Component Object Model, Windows Presentation Foundation and Winform) is desirable Working knowledge of Windows Power Shell or other Windows and automation scripting technologies, WebDAV, FTP, HTTP, ReST, JSON and XML technologies Experience in developing web applications using frameworks like React, Angular is desirable Ideal candidate should be self-motivated, possessing initiative to get things done with minimal supervision, demonstrate willingness to have an opinion and explain the rationale for it Excellent communication and interpersonal skills Quality mindset and comfortable working with colleagues across different time zones  Preferred Qualifications  Experience with Agile/Scrum development methodologies Experience with various performance/profiling tools and techniques Experience with Microsoft Foundation Class Familiarity with Autodesk CAD products and their APIs, such as Inventor, AutoCAD and Revit Experience with using other product web end-points/APIs Experience working with SQL or related database languages "
10,THE NIELSEN COMPANY (SINGAPORE) PTE. LTD.,"Executive, Marketing Mix Modelling",Central,Permanent,Professional,Information Technology ...,,"$3,000to$5,500Monthly",/job/140553f31bca9827b0b451f0c444a736,19-Apr-18,19-May-18,"This role belongs to the Marketing/Sales Effectiveness Practice which is to identify the optimal path to improve effectiveness of clients' marketing (or sales) strategy/activities via advanced analytical solutions.   The mission of this role is to help our clients identify their business opportunities or solve their business issues, by proposing optimal analytical solutions and delivering the analysis with actionable business insights, based on deep understanding of client needs and robust analytical expertise across varied Nielsen solutions. Once a project is commissioned, the individual in this role will collaborate with internal modeling hub on most solutions, translating client needs into detailed analytical requirements for the modeling hub, and drawing/reporting actionable business insights out of the modeling/analytics outcome to meet clients' business needs. Through this, this role will build client satisfactions, leading to sustainable revenue for Nielsen.   To achieve this mission, the individual will be responsible for:   Accountable for leading analysis projects on assigned Marketing/Sales Effectiveness solutions and ensure the assigned study deliverables meet client needs with actionable insights in a timely manner, as well as company's quality standards, under a supervision of a manager.   Analytical mastery of assigned Marketing (or Sales) Effectiveness solutions, and technical mastery by collaborating with internal solution experts/modeling hub. Translate client needs into study design and detailed analytical requirements, for flawless briefing to the modeling hub. Gather necessary data for analysis from clients or other internal departments in Nielsen, and review quality of the data, to feed the modeling hub. Guide the modeling hub to ensure timely modeling execution following Nielsen quality standards. Interpret modeling outcomes from the hub with actionable business insights to fully meet client needs and company's quality standards. Assist in the analysis and report development for clients, including charting. Assist in answering inquiries from clients on the analysis of outcomes. Support senior members of the team in proposal development, including detailed solution specs finalization, collaborating with internal solution experts, and preparation for proposal presentations. Recommend improvements in work processes within area of responsibility. "," BA/BS in numerate discipline required. Robust logical/analytical thinking. Strong Problem-solving capability, sometimes through out-of-box thinking. Excellent communication skills, can articulate concepts simply and concisely to the point. Strong mindset on accountability, results oriented; one who takes initiatives & follow-through. Robust statistical knowledge. Strong Excel and PowerPoint skills. Able to convert ideas into powerful visualizations & charts. "
11,THE NIELSEN COMPANY (SINGAPORE) PTE. LTD.,"Manager,Marketing Mix Modelling (Delivery)",Central,Permanent,Professional,Information Technology ...,,Salary undisclosed,/job/b17601a492c87f8d1d798212ea2e6b70,19-Apr-18,19-May-18,"This role belongs to the Marketing/Sales Effectiveness Practice which is to identify the optimal path to improve effectiveness of clients' marketing (or sales) strategy/activities via advanced analytical solutions.    The mission of this role is to help our clients identify their business opportunities or solve their business issues, by proposing optimal analytical solutions and delivering the analysis with actionable business insights, based on deep understanding of client needs and robust analytical expertise across varied Nielsen solutions. Once a project is commissioned, the individual in this role will collaborate with internal modeling hub on most solutions, translating client needs into detailed analytical requirements for the modeling hub, and drawing/reporting actionable business insights out of the modeling/analytics outcome to meet clients' business needs. Through this, this role will build client satisfactions, leading to sustainable revenue for Nielsen.    To achieve this mission, the individual will be responsible for:    Accountable for leading analysis projects on assigned Marketing/Sales Effectiveness solutions and ensure the assigned study deliverables meet client needs with actionable insights in a timely manner, as well as company's quality standards, under a supervision of a manager.   Analytical mastery of assigned Marketing (or Sales) Effectiveness solutions, and technical mastery by collaborating with internal solution experts/modeling hub. Translate client needs into study design and detailed analytical requirements, for flawless briefing to the modeling hub. Gather necessary data for analysis from clients or other internal departments in Nielsen, and review quality of the data, to feed the modeling hub. Guide the modeling hub to ensure timely modeling execution following Nielsen quality standards. Interpret modeling outcomes from the hub with actionable business insights to fully meet client needs and company's quality standards. Assist in the analysis and report development for clients, including charting. Assist in answering inquiries from clients on the analysis of outcomes. Support senior members of the team in proposal development, including detailed solution specs finalization, collaborating with internal solution experts, and preparation for proposal presentations. Recommend improvements in work processes within area of responsibility. "," BA/BS in numerate discipline required. Robust logical/analytical thinking. Strong Problem-solving capability, sometimes through out-of-box thinking. Excellent communication skills, can articulate concepts simply and concisely to the point. Strong mindset on accountability, results oriented; one who takes initiatives & follow-through. Robust statistical knowledge. Strong Excel and PowerPoint skills. Able to convert ideas into powerful visualizations & charts. "
12,THE NIELSEN COMPANY (SINGAPORE) PTE. LTD.,Manager,Central,Permanent,Executive,Information Technology ...,,"$4,200to$6,900Monthly",/job/dd5032de909970801e170f9cd6ab9fdf,19-Apr-18,19-May-18,"The Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisationâ€™s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation."," ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels."
13,VISTRA CORPORATE SERVICES (SEA) PTE. LTD.,"Assistant Manager / Manager, Escrow Administration",Central,Permanent,Executive,Information Technology ...,Government support available,"$6,000to$6,400Monthly",/job/3a303e696d5cb493e6b4ed4fbe4d65c3,19-Apr-18,19-May-18," Support Client Relationship Managers by delivering a full suite of trust and corporate services to clients Facilitate and coordinate with different service providers and professional advisors to complete clientâ€™s requests and instructions Provide prompt, excellent and professional trust and company administration services Ensure that clientsâ€™ data base is kept up to date along with clientsâ€™ records and accuracy of data being captured in the appropriate system Conduct administrative reviews on existing escrow structures Comply with the Groupâ€™s internal control and audit standards Participate in ad hoc projects or matters ", Develop and maintain adequate trust knowledge to deliver full suite of escrow and payment solution services to clients Possess at least 2 years of banking or escrow experience  Educated to degree level of equivalent professional qualification  Develop and maintain technical knowledge of escrow structures Detail oriented able to work with minimum supervision in a fast pace environment Develop interpersonal skills Strong work ethic; professional and approachable Able to multitask and is meticulous Inquisitive and self-motivated Strong knowledge of the regulatory and compliance regime 
14,RAZER (ASIA-PACIFIC) PTE. LTD.,Associate Director,East,Full Time,Manager ...,Public / Civil Service,Government support available,"$9,000to$11,000Monthly",/job/fdd8cacb23a1d3027e663efd50650e6a,19-Apr-18,19-May-18," Lead and drive the growth of Razer digital business through innovative ideas, breakthrough offers and process improvements. Develop business cases and partner with other departments in execution of growth initiatives Inspire and deliver innovative, creative monetization solutions that disrupt the market, distinguish our brands, and meet given business objectives.Â  Accountable to link deployed solution to business impact/sales Leverage industry trends, technological partnerships and leading practices to challenge the status quo in support of long-term developments Drive new and innovative monetization experiences and strategic initiatives that strengthen our customersâ€™ relationship with the Razer brand. Partner with Product Management and Engineering to develop a new platform for monetizing across all relevant digital touch points (web, mobile, etc). Manage, train, nurture and inspire a high performing marketing and data-science team Responsible for all aspects of global e-marketing operations (budget management, profitability, execution), in regards with customer acquisition, conversion and retention. Analyse business results and provide relevant reporting Direct team in development and implementation of digital consumer strategy, tactics and initiatives for all digital channels Define the user base monetization business objectives and KPIs to guide product and data scientist development. Manage and oversee site A/B Testing plans, mobile and desktop functionality, SEO, as well as online storytelling, day to day operations, calendar strategy and promotional management Manage corporate-wide projects and be the expert in digital marketing strategies/execution of these programs Analyse performance and impact of Omni-channel marketing initiatives "," Minimum 10 years of advanced work experience of which at least 5 years within digital commerce Demonstrated successful senior leadership track record A sincere interest in contemporary culture and technology Extensive knowledge of e-commerce processes and technologies Record of successfully working with growth oriented company where it is necessary to react quickly to market changes and consumer trends. Outstanding analytical skills with strong experience interpreting data and drawing conclusions Excellent communication and presentation skills to senior stakeholders An intellectual curiosity to identify, understand and solve complex problems Excellent spoken and written English Progressive and adaptable to change Possesses excellent communication skills, both verbal and written. Creative thinker â€“a keen ability to evaluate big ideas and drive integration throughout all key customer & consumer touchpoints Proven leadership, organization and analytical problem-solving skills Ability to travel as needed "
15,COLD STORAGE SINGAPORE (1983) PTE LTD,Senior Quality Assurance Analyst,East,Full Time,Manager ...,Public / Civil Service,,"$2,800to$3,000Monthly",/job/05d31514672bb958abb0f1d3874ced2d,19-Apr-18,19-May-18," Assist in developing test strategies, researching, testing and implementing tools to improve productivity and software quality Analyze and deliver test plan, scenarios and scripts to ensure all test phase deliverables meet agreed quality standards Develop and review test cases; analyse results and provide completed quality assurance reports Manage and monitor test preparation activities, work with Data Migration team to create or secure appropriate test data, and build and maintain test libraries Conduct testing with third party, internal IT and Quality Assurance team, lead and coordinate UAT activities Participate in the design and build discussions, highlight testing requirements and execute testing for change requests and post deployment issues Recommend technologies, practices, methodologies and/or standards in improving the delivery of QA services  Act as a subject matter expert to coach and provide procedural guidance to other team membersÂ Â "," Bachelorâ€™s Degree in Information Systems, Computer Science or related field A minimum of 5 years of relevant experience in implementing test strategies including non-functional testing such as performance testing. Strong experience with a range of testing tools would be an advantage; knowledge in load runner performance testing is a plus At least 1 year hands-on experience in using HP QC automation tool Good familiarity in UNIX commands. Experience working in UNIX/LINUX environment Good understanding of OOP language approach Strong SQL scripting skills Familiarity in SAP business model is a plus. At least 1 year of relevant experience in managing junior and/or middle level QA Has experience working with multi-cultural teams Good technical knowledge of multiple aspects of the retail industry is an advantage Strong verbal & written English communication skills.Â  Has good attention to details Willing to travel to and be temporarily based in overseas countries when necessary "
16,A*STAR RESEARCH ENTITIES,Research Engineer /  Senior Research Engineer (Deep Learning 2.0)  /  I2R,East,Full Time,Manager,Education and Training ...,,"$5,700to$11,400Monthly",/job/3641fcfdc108b2b7ea0ef73b9409ced0,19-Apr-18,19-May-18,"About the Institute for Infocomm Research (IÂ_R) The Institute for Infocomm Research (IÂ_R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singaporeâ€™s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong candidates in the field of Artificial intelligence and deep learning, with an interest in working on both fundamental algorithms in large-scale machine learning or deep learning, and also applying it to practical problems in vertical domains. Successful candidates will work closely with a highly interdisciplinary team of researchers with training from leading universities like MIT, Stanford and CMU. â€‹â€‹Deep learning application in AME (Semiconductor domain): Explore state-of-the-art deep learning technologies in Advance Manufacturing Engineering, especially in semiconductor industries. Including, but not limited to, yield analysis and prediction, predictive maintenance (PdM), advanced DoE analysis and prediction, etc."," Minimum BachelorÂ inÂ Computer Science, Statistics, Data Science intensive fields with expertise in one or more of the following areas: â€‹â€‹ 	 Large-scale machine learning Deep learning, supervised or unsupervised Applying state-of-art machine learning techniques to practical problems in different domains   Experience in corporate or application oriented environments Experience with Tensor Flow, Theano, Caffe, CNTK skills Strong programming skills in Perl, Bash, C/C++, Java, Python, R, MATLAB Possess computer vision and deep learning skills Ability to work independently Team player Good communication skills for proposals, reports, and publications  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified"
17,SKILLSFUTURE SINGAPORE AGENCY,Manager (Planning & Programmes Division),East,Full Time,Manager,Education and Training ...,,Salary undisclosed,/job/34619dfc7d309d4f455e97854ac5387d,19-Apr-18,19-May-18,"Responsibilities  Formulate, organise, monitor and review operational polices & programmes related to TAE/CET, e.g. TAE Transformation Plan, iN.LEARN 2020, SkillsFuture Credits, SkillsFuture Earn and Learn Programme in consultation with internal and external stakeholders Present recommendationsÂ  and execute suitable implementation strategies and objectives Develop and control project timelines, budgets and activities Apply change, risk and resource management Monitor and review programmes performance Gather, analyse and interpret external and internal data and write reports Coordinate discussions and communication sessions with internal and external stakeholders Maintain relationships with partners/vendors Undertake any other project that relates to data collection and analysis, as requested by your supervisor(s)Â   Requirements  Tertiary qualifications Conscientious planner with strategic foresightÂ  Performance driven and outcome orientedÂ  Enjoys tackling challenges and solving issuesÂ  Meticulous and good with detailsÂ  Able to write well and communicate clearlyÂ  A team playerÂ   For Manager â€“ 0 to 3 years of experience in public or private sector policy/programmes development and implementation.Â    Those without qualifications but have substantial work experience are welcome to apply.  ",-
